Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,68500.00,67000.00,69400.00,66500.00,725370.00,0.02
12/4/2017,69000.00,70000.00,70000.00,68800.00,1190000.00,0.01
12/5/2017,68900.00,69000.00,70100.00,68600.00,777070.00,0.00
12/6/2017,67700.00,68900.00,69000.00,66000.00,1080000.00,-0.02
12/7/2017,69000.00,68600.00,69800.00,67300.00,1560000.00,0.02
12/8/2017,71900.00,69900.00,72200.00,69500.00,1660000.00,0.04
12/11/2017,72000.00,72000.00,74100.00,71500.00,1150000.00,0.00
12/12/2017,72200.00,73000.00,73000.00,67400.00,1290000.00,0.00
12/13/2017,71600.00,70600.00,72200.00,70500.00,812460.00,-0.01
12/14/2017,73100.00,71100.00,73100.00,71100.00,694180.00,0.02
12/15/2017,71700.00,72000.00,72700.00,71700.00,3030000.00,-0.02
12/18/2017,75500.00,72000.00,75700.00,72000.00,960060.00,0.05
12/19/2017,76000.00,75500.00,76600.00,75200.00,1060000.00,0.01
12/20/2017,76100.00,75500.00,76900.00,75100.00,1070000.00,0.00
12/21/2017,73200.00,76300.00,76700.00,73200.00,981850.00,-0.04
12/22/2017,73900.00,74400.00,74700.00,72000.00,1030000.00,0.01
12/25/2017,74200.00,73100.00,75400.00,73000.00,207370.00,0.00
12/26/2017,75500.00,74900.00,75500.00,74300.00,403710.00,0.02
12/27/2017,75000.00,74900.00,75700.00,74800.00,517920.00,-0.01
12/28/2017,75700.00,75000.00,76000.00,74500.00,377030.00,0.01
12/29/2017,76700.00,74800.00,77000.00,74800.00,609680.00,0.01
1/2/2018,80000.00,77000.00,80000.00,76700.00,533950.00,0.04
1/3/2018,82500.00,80000.00,84300.00,80000.00,699510.00,0.03
1/4/2018,82500.00,81900.00,83400.00,81500.00,749910.00,0.00
1/5/2018,84700.00,82500.00,85000.00,81800.00,553920.00,0.03
1/8/2018,88800.00,84900.00,88800.00,83600.00,567080.00,0.05
1/9/2018,90000.00,88800.00,90600.00,88200.00,517480.00,0.01
1/10/2018,87000.00,90000.00,90000.00,86800.00,691140.00,-0.03
1/11/2018,90000.00,85700.00,90000.00,85700.00,650600.00,0.03
1/12/2018,93000.00,90400.00,93500.00,90000.00,513870.00,0.03
1/15/2018,92800.00,93300.00,93700.00,90100.00,880860.00,0.00
1/16/2018,92400.00,91500.00,92800.00,90400.00,658030.00,0.00
1/17/2018,90200.00,92500.00,92600.00,90200.00,334150.00,-0.02
1/18/2018,92000.00,90000.00,92000.00,87500.00,494030.00,0.02
1/19/2018,87500.00,92000.00,92200.00,87500.00,1280000.00,-0.05
1/22/2018,92500.00,89000.00,93500.00,89000.00,578810.00,0.06
1/25/2018,97200.00,93000.00,97500.00,93000.00,1030000.00,0.05
1/26/2018,97500.00,97300.00,98200.00,95100.00,629310.00,0.00
1/29/2018,94500.00,97500.00,98000.00,94200.00,363310.00,-0.03
1/30/2018,90800.00,94500.00,94800.00,90000.00,650630.00,-0.04
1/31/2018,92100.00,90800.00,95000.00,90600.00,1080000.00,0.01
2/1/2018,92100.00,94000.00,94000.00,90500.00,724810.00,0.00
2/2/2018,91000.00,92000.00,92500.00,86700.00,669230.00,-0.01
2/5/2018,84700.00,85500.00,87000.00,84700.00,661070.00,-0.07
2/6/2018,86000.00,78800.00,86000.00,78800.00,1870000.00,0.02
2/7/2018,83000.00,86000.00,86500.00,83000.00,566450.00,-0.03
2/8/2018,85000.00,83900.00,86400.00,82500.00,471670.00,0.02
2/9/2018,82200.00,81000.00,83000.00,79500.00,948340.00,-0.03
2/12/2018,85000.00,84000.00,85000.00,81100.00,997380.00,0.03
2/13/2018,85600.00,85000.00,87000.00,85000.00,485920.00,0.01
2/21/2018,89500.00,85600.00,90000.00,85600.00,326210.00,0.05
2/22/2018,88000.00,88000.00,90000.00,88000.00,402290.00,-0.02
2/23/2018,89800.00,89000.00,90700.00,88100.00,653110.00,0.02
2/26/2018,89900.00,91000.00,93000.00,89900.00,592570.00,0.00
2/27/2018,91400.00,91500.00,92000.00,90400.00,567630.00,0.02
2/28/2018,89200.00,91000.00,92500.00,89200.00,1150000.00,-0.02
3/1/2018,91000.00,90000.00,91500.00,89300.00,686470.00,0.02
3/2/2018,91500.00,91000.00,93200.00,89500.00,265490.00,0.01
3/5/2018,91000.00,93000.00,93000.00,91000.00,704600.00,-0.01
3/6/2018,90500.00,91000.00,91600.00,90500.00,846740.00,-0.01
3/7/2018,91400.00,90600.00,91700.00,90400.00,1140000.00,0.01
3/8/2018,94000.00,91400.00,95000.00,91200.00,829830.00,0.03
3/9/2018,94100.00,95000.00,96000.00,93900.00,398400.00,0.00
3/12/2018,95200.00,95000.00,95700.00,94200.00,191140.00,0.01
3/13/2018,95000.00,95200.00,95200.00,93500.00,263070.00,0.00
3/14/2018,94000.00,94200.00,95400.00,94000.00,315590.00,-0.01
3/15/2018,93000.00,95000.00,95000.00,93000.00,456960.00,-0.01
3/16/2018,92000.00,94200.00,94200.00,92000.00,3690000.00,-0.01
3/19/2018,94300.00,92000.00,94300.00,92000.00,368790.00,0.03
3/20/2018,100500.00,94700.00,100500.00,94300.00,981900.00,0.07
3/21/2018,102400.00,100500.00,103400.00,99600.00,901320.00,0.02
3/22/2018,103600.00,102500.00,104500.00,102500.00,772700.00,0.01
3/23/2018,102000.00,99500.00,103000.00,99500.00,946780.00,-0.02
3/26/2018,109100.00,102000.00,109100.00,100900.00,1330000.00,0.07
3/27/2018,109000.00,111000.00,114000.00,109000.00,969010.00,0.00
3/28/2018,110400.00,109000.00,110400.00,107000.00,450680.00,0.01
3/29/2018,109500.00,111500.00,112000.00,108000.00,515400.00,-0.01
3/30/2018,113500.00,109000.00,115000.00,106800.00,625160.00,0.04
4/2/2018,114600.00,113000.00,118000.00,113000.00,1030000.00,0.01
4/3/2018,113000.00,115000.00,115000.00,111800.00,930340.00,-0.01
4/4/2018,110000.00,113000.00,114900.00,110000.00,1270000.00,-0.03
4/5/2018,109500.00,112000.00,112800.00,109000.00,616480.00,0.00
4/6/2018,106800.00,109500.00,112000.00,105000.00,880100.00,-0.02
4/9/2018,107000.00,105000.00,109800.00,102000.00,1640000.00,0.00
4/10/2018,105000.00,109000.00,109000.00,104100.00,813040.00,-0.02
4/11/2018,98000.00,105000.00,106500.00,98000.00,1690000.00,-0.07
4/12/2018,102000.00,98000.00,102800.00,97000.00,755630.00,0.04
