Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,13928.50,13625.20,14105.50,13574.60,10420000.00,0.02
12/4/2017,14712.20,14054.90,14813.30,13979.10,11520000.00,0.06
12/5/2017,14257.20,14661.60,14712.20,14156.10,11100000.00,-0.03
12/6/2017,14130.80,14206.60,14257.20,13625.20,14660000.00,-0.01
12/7/2017,13701.00,14130.80,14156.10,13599.90,8850000.00,-0.03
12/8/2017,13751.60,13751.60,13953.80,13574.60,6540000.00,0.00
12/11/2017,13043.80,13599.90,13701.00,13043.80,7050000.00,-0.05
12/12/2017,13372.40,13144.90,13372.40,12563.50,8510000.00,0.03
12/13/2017,13246.00,13372.40,13448.20,13119.60,5080000.00,-0.01
12/14/2017,13473.50,13220.70,13498.80,13220.70,3640000.00,0.02
12/15/2017,13701.00,13599.90,13852.70,13372.40,7660000.00,0.02
12/18/2017,13903.30,13953.80,14029.70,13802.10,7350000.00,0.01
12/19/2017,14080.20,14004.40,14231.90,13953.80,10790000.00,0.01
12/20/2017,14156.10,14156.10,14383.60,14054.90,7240000.00,0.01
12/21/2017,13953.80,14156.10,14282.40,13953.80,5950000.00,-0.01
12/22/2017,13928.50,13852.70,14080.20,13776.90,4610000.00,0.00
12/25/2017,14080.20,13953.80,14206.60,13953.80,3570000.00,0.01
12/26/2017,14156.10,14156.10,14257.20,14105.50,9840000.00,0.01
12/27/2017,14004.40,14181.30,14282.40,14004.40,6900000.00,-0.01
12/28/2017,14484.70,14130.80,14535.20,14080.20,10100000.00,0.03
12/29/2017,14560.50,14686.90,14838.60,14510.00,14420000.00,0.01
1/2/2018,14712.20,14611.10,14813.30,14611.10,7610000.00,0.01
1/3/2018,15268.30,14813.30,15268.30,14762.70,17420000.00,0.04
1/4/2018,15217.80,15318.90,15420.00,15167.20,11870000.00,0.00
1/5/2018,14611.10,15268.30,15318.90,14611.10,14140000.00,-0.04
1/8/2018,14914.40,14611.10,14914.40,14459.40,14180000.00,0.02
1/9/2018,15066.10,15167.20,15268.30,14838.60,9220000.00,0.01
1/10/2018,15344.10,15243.00,15571.70,15116.60,17760000.00,0.02
1/11/2018,15318.90,15344.10,15394.70,15066.10,11010000.00,0.00
1/12/2018,15824.40,15420.00,16052.00,15318.90,21390000.00,0.03
1/15/2018,16153.10,15875.00,16279.50,15571.70,10390000.00,0.02
1/16/2018,16102.50,15976.10,16228.90,15799.20,12660000.00,0.00
1/17/2018,15420.00,16077.20,16153.10,15420.00,16400000.00,-0.04
1/18/2018,15925.60,15217.80,15925.60,15015.50,13540000.00,0.03
1/19/2018,16431.10,16026.70,16557.50,15925.60,16170000.00,0.03
1/22/2018,17290.60,16683.90,17341.20,16582.80,17850000.00,0.05
1/25/2018,17897.30,17189.50,18352.30,17189.50,21140000.00,0.04
1/26/2018,17846.70,18049.00,18352.30,17442.30,13210000.00,0.00
1/29/2018,18504.00,17846.70,18756.80,17796.20,8690000.00,0.04
1/30/2018,18453.40,17998.40,18529.30,17947.90,14720000.00,0.00
1/31/2018,17240.00,18453.40,18680.90,17240.00,12450000.00,-0.07
2/1/2018,17467.60,17695.10,17947.90,17240.00,11640000.00,0.01
2/2/2018,17745.60,17593.90,17872.00,17442.30,6040000.00,0.02
2/5/2018,16507.00,17189.50,17543.40,16507.00,16280000.00,-0.07
2/6/2018,15773.90,15369.40,16330.00,15369.40,20700000.00,-0.04
2/7/2018,16683.90,16785.00,16860.90,16481.70,9110000.00,0.06
2/8/2018,15976.10,16279.50,16683.90,15976.10,4220000.00,-0.04
2/9/2018,15976.10,15116.60,15976.10,15116.60,9100000.00,0.00
2/12/2018,16987.30,16532.20,16987.30,16380.60,7790000.00,0.06
2/13/2018,17265.30,17088.40,17442.30,17088.40,6410000.00,0.02
2/21/2018,17745.60,17442.30,17998.40,17366.40,9430000.00,0.03
2/22/2018,17391.70,17492.80,17770.90,17214.80,7470000.00,-0.02
2/23/2018,17796.20,17543.40,17846.70,17417.00,7230000.00,0.02
2/26/2018,17720.30,18200.60,18301.80,17720.30,12220000.00,0.00
2/27/2018,17846.70,17846.70,17922.60,17619.20,7480000.00,0.01
2/28/2018,18655.70,17695.10,18655.70,17568.70,15770000.00,0.05
3/1/2018,19110.70,18655.70,19439.30,18605.10,15190000.00,0.02
3/2/2018,19211.80,18857.90,19338.20,18655.70,10610000.00,0.01
3/5/2018,17872.00,19414.00,19692.10,17872.00,15110000.00,-0.07
3/6/2018,19110.70,18327.00,19110.70,18099.50,12920000.00,0.07
3/7/2018,19312.90,19211.80,19666.80,18857.90,14700000.00,0.01
3/8/2018,19287.60,19262.30,19312.90,18959.00,9550000.00,0.00
3/9/2018,19616.20,19666.80,19944.90,19439.30,15750000.00,0.02
3/12/2018,19414.00,19869.00,19944.90,19363.50,8460000.00,-0.01
3/13/2018,19970.10,19515.10,19970.10,19363.50,8920000.00,0.03
3/14/2018,19818.50,20147.10,20197.70,19818.50,8450000.00,-0.01
3/15/2018,19843.80,19666.80,19894.30,19616.20,8070000.00,0.00
3/16/2018,20728.50,19970.10,20804.30,19919.60,24330000.00,0.04
3/19/2018,20728.50,20981.30,21133.00,20475.70,9060000.00,0.00
3/20/2018,20753.80,20425.20,21082.40,20425.20,8500000.00,0.00
3/21/2018,20703.20,20905.50,20930.70,20526.30,9960000.00,0.00
3/22/2018,20374.60,20880.20,20905.50,20349.30,11360000.00,-0.02
3/23/2018,20020.70,19767.90,20020.70,19262.30,16870000.00,-0.02
3/26/2018,20324.00,19869.00,20374.60,19818.50,6980000.00,0.02
3/27/2018,20222.90,20677.90,20779.10,20121.80,9550000.00,-0.01
3/28/2018,19970.10,19995.40,20222.90,19869.00,5290000.00,-0.01
3/29/2018,19717.40,19995.40,20096.50,19641.50,6540000.00,-0.01
3/30/2018,19717.40,19793.20,19818.50,19312.90,7720000.00,0.00
4/2/2018,20627.40,19970.10,20652.70,19869.00,11400000.00,0.05
