Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,16511.90,16477.20,16615.90,16338.40,1060000.00,0.01
12/4/2017,16997.50,16720.00,17309.70,16615.90,1600000.00,0.03
12/5/2017,16303.70,16997.50,16997.50,16303.70,2360000.00,-0.04
12/6/2017,16234.40,16234.40,16373.10,15748.70,2620000.00,0.00
12/7/2017,15818.10,16303.70,16338.40,15679.30,1070000.00,-0.03
12/8/2017,15783.40,15748.70,16026.20,15610.00,933060.00,0.00
12/11/2017,14985.60,15471.20,15610.00,14985.60,1570000.00,-0.05
12/12/2017,14846.80,15124.30,15193.70,14014.30,2060000.00,-0.01
12/13/2017,14812.10,14985.60,15124.30,14534.60,926810.00,0.00
12/14/2017,15228.40,14846.80,15228.40,14846.80,1130000.00,0.03
12/15/2017,15263.10,15228.40,15332.50,15089.60,1080000.00,0.00
12/18/2017,15714.00,15610.00,15887.50,15401.80,2280000.00,0.03
12/19/2017,16373.10,15922.20,16442.50,15783.40,2630000.00,0.04
12/20/2017,16442.50,16477.20,16720.00,16234.40,2130000.00,0.00
12/21/2017,16338.40,16442.50,16546.60,16303.70,878050.00,-0.01
12/22/2017,16407.80,16199.70,16477.20,16130.30,1070000.00,0.00
12/25/2017,16720.00,16407.80,16858.80,16373.10,1400000.00,0.02
12/26/2017,16650.60,16858.80,16858.80,16511.90,902800.00,0.00
12/27/2017,16928.10,16858.80,17205.70,16789.40,2380000.00,0.02
12/28/2017,18107.60,17136.30,18107.60,16928.10,4160000.00,0.07
12/29/2017,18315.70,18246.30,18662.60,18107.60,2320000.00,0.01
1/2/2018,18523.80,18315.70,18593.20,18315.70,1110000.00,0.01
1/3/2018,18593.20,18523.80,18905.40,18419.80,2550000.00,0.00
1/4/2018,18732.00,18593.20,18801.30,18489.10,1580000.00,0.01
1/5/2018,18211.60,18732.00,18801.30,18107.60,1790000.00,-0.03
1/8/2018,18732.00,18038.20,18801.30,17830.10,2340000.00,0.03
1/9/2018,19009.50,19356.40,19356.40,18697.30,1430000.00,0.01
1/10/2018,19078.90,19113.50,19252.30,18801.30,1790000.00,0.00
1/11/2018,18870.70,18940.10,19078.90,18593.20,1630000.00,-0.01
1/12/2018,19148.20,19044.20,19564.50,18974.80,2240000.00,0.01
1/15/2018,19599.20,19148.20,19703.30,18974.80,1650000.00,0.02
1/16/2018,19599.20,19495.10,19703.30,19356.40,1400000.00,0.00
1/17/2018,18523.80,19564.50,19703.30,18523.80,2220000.00,-0.05
1/18/2018,19078.90,18107.60,19078.90,17830.10,2020000.00,0.03
1/19/2018,19217.60,19182.90,19425.70,19078.90,1200000.00,0.01
1/22/2018,19842.00,19495.10,20223.60,19425.70,2790000.00,0.03
1/25/2018,20466.40,20119.50,20813.30,19911.40,3730000.00,0.03
1/26/2018,20293.00,20813.30,20813.30,20015.40,2200000.00,-0.01
1/29/2018,20674.50,20397.00,21160.20,20258.30,2000000.00,0.02
1/30/2018,21992.70,20397.00,21992.70,20327.60,2080000.00,0.06
1/31/2018,20813.30,22131.50,22409.00,20813.30,2440000.00,-0.05
2/1/2018,19633.90,20813.30,21021.40,19564.50,3810000.00,-0.06
2/2/2018,20084.80,19772.60,20084.80,19148.20,2200000.00,0.02
2/5/2018,18697.30,19495.10,19737.90,18697.30,2790000.00,-0.07
2/6/2018,18315.70,17413.80,18697.30,17413.80,4060000.00,-0.02
2/7/2018,19564.50,19078.90,19564.50,19078.90,2570000.00,0.07
2/8/2018,19425.70,19425.70,20258.30,19217.60,1220000.00,-0.01
2/9/2018,19772.60,18315.70,19772.60,18315.70,1360000.00,0.02
2/12/2018,20466.40,20362.30,20466.40,19842.00,1200000.00,0.04
2/13/2018,20535.80,20605.20,20917.40,20466.40,1310000.00,0.00
2/21/2018,21125.50,20813.30,21264.20,20709.20,1790000.00,0.03
2/22/2018,20466.40,20813.30,21056.10,20258.30,1610000.00,-0.03
2/23/2018,20778.60,20674.50,20813.30,20119.50,2010000.00,0.02
2/26/2018,21854.00,21090.80,22166.20,21090.80,5050000.00,0.05
2/27/2018,23380.60,22931.00,23380.60,22436.40,3590000.00,0.07
2/28/2018,24459.70,23020.90,24909.30,22751.10,1650000.00,0.05
3/1/2018,24010.10,23920.10,24639.50,23380.60,1880000.00,-0.02
3/2/2018,23830.20,23380.60,24055.00,23380.60,1360000.00,-0.01
3/5/2018,22166.60,24100.00,24189.90,22166.60,2010000.00,-0.07
3/6/2018,23695.30,22751.10,23695.30,22211.60,1450000.00,0.07
3/7/2018,24729.50,24189.90,25314.00,24100.00,3770000.00,0.04
3/8/2018,24684.50,24729.50,25089.20,24369.80,830950.00,0.00
3/9/2018,24729.50,25179.10,25448.90,24639.50,1460000.00,0.00
3/12/2018,24279.80,24999.20,24999.20,24189.90,948240.00,-0.02
3/13/2018,24639.50,24549.60,24684.50,24189.90,850470.00,0.01
3/14/2018,25493.80,25089.20,25718.60,25089.20,2100000.00,0.03
3/15/2018,26258.20,25493.80,26258.20,25358.90,1910000.00,0.03
3/16/2018,26213.20,26258.20,26528.00,25988.40,2810000.00,0.00
3/19/2018,26528.00,26707.80,26887.70,26213.20,1530000.00,0.01
3/20/2018,26123.30,26078.30,26707.80,26078.30,1360000.00,-0.02
3/21/2018,25808.60,26213.20,26438.00,25718.60,1490000.00,-0.01
3/22/2018,24819.40,25898.50,25898.50,24100.00,5620000.00,-0.04
3/23/2018,24189.90,23650.40,24459.70,23650.40,2290000.00,-0.03
3/26/2018,25628.70,24189.90,25628.70,24100.00,1480000.00,0.06
3/27/2018,25179.10,25673.70,25673.70,24954.30,2590000.00,-0.02
3/28/2018,25763.60,24954.30,25763.60,24819.40,1430000.00,0.02
3/29/2018,26078.30,25628.70,26078.30,25403.90,1290000.00,0.01
3/30/2018,26123.30,26078.30,26528.00,25853.50,1690000.00,0.00
4/2/2018,26572.90,26168.30,26797.70,26168.30,2140000.00,0.02
4/3/2018,28146.60,26572.90,28371.40,26572.90,2850000.00,0.06
4/4/2018,27786.90,28596.30,28776.10,27472.20,2650000.00,-0.01
4/5/2018,28056.70,27786.90,28056.70,27337.30,2150000.00,0.01
4/6/2018,29270.70,28056.70,29450.50,27876.90,2300000.00,0.04
4/9/2018,30574.60,29675.40,30574.60,29225.70,2420000.00,0.04
4/10/2018,30259.90,30934.30,30934.30,30169.90,2590000.00,-0.01
4/11/2018,29495.50,30304.80,30664.50,29135.80,2300000.00,-0.03
4/12/2018,30125.00,29225.70,30125.00,28416.40,1520000.00,0.02
4/13/2018,29855.20,30529.60,30754.50,29405.60,1210000.00,-0.01
4/16/2018,29675.40,29495.50,30125.00,28776.10,942970.00,-0.01
4/17/2018,29765.30,29675.40,30125.00,29315.70,1310000.00,0.00
4/18/2018,29045.90,29765.30,30259.90,29045.90,1600000.00,-0.02
4/19/2018,28416.40,28866.00,29045.90,27427.20,2130000.00,-0.02
4/20/2018,28416.40,28056.70,28686.20,27517.20,887180.00,0.00
4/23/2018,26438.00,28326.50,28326.50,26438.00,2460000.00,-0.07
4/24/2018,24594.60,25403.90,26033.40,24594.60,2450000.00,-0.07
4/26/2018,22886.00,24279.80,24369.80,22886.00,2330000.00,-0.07
4/27/2018,24459.70,22031.70,24459.70,22031.70,1810000.00,0.07
5/2/2018,23560.40,24729.50,25089.20,23200.70,1230000.00,-0.04
5/3/2018,24369.80,23380.60,24414.70,22751.10,1390000.00,0.03
5/4/2018,24100.00,24729.50,24909.30,24010.10,1010000.00,-0.01
5/7/2018,25583.80,24369.80,25583.80,23470.50,1100000.00,0.06
5/8/2018,25448.90,25583.80,25808.60,24999.20,1090000.00,-0.01
5/9/2018,23677.70,25635.30,25635.30,23677.70,3390000.00,-0.07
5/10/2018,22046.40,22046.40,23304.80,22046.40,7060000.00,-0.07
5/11/2018,23584.50,20508.30,23584.50,20508.30,2890000.00,0.07
5/14/2018,21953.20,22372.60,23211.60,21953.20,2430000.00,-0.07
5/15/2018,20601.50,21533.70,21766.70,20601.50,3450000.00,-0.06
5/16/2018,21021.00,20508.30,21254.00,19576.10,1670000.00,0.02
5/17/2018,21347.20,21440.40,21626.90,21254.00,1450000.00,0.02
5/18/2018,20741.30,20974.30,21254.00,20182.00,1260000.00,-0.03
5/21/2018,20042.20,20974.30,20974.30,20042.20,862490.00,-0.03
5/22/2018,18643.90,19576.10,19948.90,18643.90,2490000.00,-0.07
5/23/2018,19948.90,18643.90,19948.90,17711.70,2050000.00,0.07
5/24/2018,19110.00,19576.10,19948.90,18737.10,1550000.00,-0.04
5/25/2018,17898.10,18737.10,19063.40,17804.90,1400000.00,-0.06
5/28/2018,16686.30,16872.70,17804.90,16686.30,2010000.00,-0.07
5/29/2018,17851.50,16406.60,17851.50,16406.60,1540000.00,0.07
5/30/2018,17292.20,17711.70,17898.10,17152.40,759820.00,-0.03
5/31/2018,17898.10,16686.30,18037.90,16686.30,2780000.00,0.04
6/1/2018,17804.90,17898.10,18364.20,17665.10,1560000.00,-0.01
6/4/2018,18317.60,17804.90,18550.60,17525.20,2730000.00,0.03
6/5/2018,19576.10,18457.40,19576.10,18317.60,3840000.00,0.07
6/6/2018,20927.70,20135.40,20927.70,20042.20,3190000.00,0.07
6/7/2018,19902.30,20927.70,20927.70,19902.30,2390000.00,-0.05
6/8/2018,20508.30,19622.70,20508.30,19576.10,1510000.00,0.03
6/11/2018,20508.30,20042.20,21067.60,19669.30,1120000.00,0.00
6/12/2018,19576.10,20088.80,20228.60,19389.60,2310000.00,-0.05
6/13/2018,19995.50,19576.10,19995.50,19576.10,715880.00,0.02
6/14/2018,18830.30,19948.90,20461.60,18830.30,1760000.00,-0.06
6/15/2018,19110.00,18737.10,19110.00,18271.00,1230000.00,0.01
6/18/2018,18084.50,19296.40,19389.60,17898.10,1130000.00,-0.05
6/19/2018,17338.80,17618.50,18084.50,16826.10,3470000.00,-0.04
6/20/2018,17898.10,17711.70,18084.50,17292.20,5600000.00,0.03
6/21/2018,17711.70,17804.90,18177.80,17618.50,859260.00,-0.01
6/22/2018,17618.50,17571.80,17758.30,17199.00,1480000.00,-0.01
6/25/2018,17898.10,18131.20,18131.20,17758.30,665760.00,0.02
6/26/2018,17525.20,17525.20,17618.50,17152.40,848500.00,-0.02
6/27/2018,16779.50,17618.50,17618.50,16779.50,1090000.00,-0.04
6/28/2018,15940.50,16406.60,16779.50,15847.30,1670000.00,-0.05
6/29/2018,16173.60,16266.80,16453.20,15660.80,1120000.00,0.01
7/2/2018,15381.20,15660.80,16126.90,15054.90,1110000.00,-0.05
7/3/2018,14355.80,15381.20,15521.00,14355.80,1600000.00,-0.07
7/4/2018,14961.70,14355.80,15148.10,13889.70,2300000.00,0.04
7/5/2018,14915.10,14775.30,15008.30,14449.00,1550000.00,0.00
7/6/2018,15940.50,14635.40,15940.50,14635.40,1750000.00,0.07
7/9/2018,15707.50,16126.90,16406.60,15381.20,1780000.00,-0.01
7/10/2018,15847.30,15381.20,16266.80,15381.20,1140000.00,0.01
7/11/2018,14915.10,15288.00,15474.40,14821.90,939850.00,-0.06
7/12/2018,15288.00,14588.80,15381.20,14588.80,734800.00,0.03
7/13/2018,15521.00,15660.80,15707.50,15101.50,532350.00,0.02
7/16/2018,15474.40,15847.30,15847.30,15474.40,690470.00,0.00
7/17/2018,16033.70,15194.70,16033.70,15054.90,945170.00,0.04
7/18/2018,17152.40,16126.90,17152.40,16126.90,1670000.00,0.07
7/19/2018,17152.40,17338.80,17525.20,16965.90,1570000.00,0.00
7/20/2018,17711.70,16779.50,17711.70,16453.20,1110000.00,0.03
7/23/2018,16686.30,17245.60,17338.80,16593.00,1510000.00,-0.06
7/24/2018,16593.00,16499.80,16593.00,15754.10,1120000.00,-0.01
7/25/2018,16033.70,16406.60,16686.30,16033.70,665400.00,-0.03
7/26/2018,16313.40,15940.50,16313.40,15660.80,602740.00,0.02
7/27/2018,16406.60,16593.00,16779.50,16266.80,641720.00,0.01
7/30/2018,16779.50,16593.00,16872.70,16406.60,687910.00,0.02
7/31/2018,16872.70,16826.10,17105.70,16313.40,1280000.00,0.01
8/1/2018,16639.60,16919.30,17245.60,16499.80,480510.00,-0.01
8/2/2018,17105.70,16546.40,17152.40,16313.40,851590.00,0.03
8/3/2018,17152.40,17245.60,17618.50,17152.40,1020000.00,0.00
8/6/2018,16686.30,16872.70,17245.60,16686.30,396670.00,-0.03
8/7/2018,16872.70,16686.30,17059.10,16453.20,516700.00,0.01
8/8/2018,18037.90,16965.90,18037.90,16919.30,2780000.00,0.07
8/9/2018,18271.00,18271.00,18923.50,18177.80,1210000.00,0.01
8/10/2018,19110.00,18084.50,19110.00,17991.30,1510000.00,0.05
8/13/2018,19669.30,18690.50,19948.90,18457.40,2190000.00,0.03
8/14/2018,19529.40,19669.30,19809.10,19203.20,1490000.00,-0.01
8/15/2018,18643.90,19249.80,19715.90,18643.90,1770000.00,-0.05
8/16/2018,18923.50,18271.00,19296.40,17991.30,1660000.00,0.02
8/17/2018,18643.90,19389.60,19529.40,18364.20,1360000.00,-0.01
8/20/2018,18737.10,18550.60,19203.20,18550.60,619740.00,0.01
8/21/2018,19389.60,18643.90,19389.60,18643.90,1560000.00,0.03
8/22/2018,20135.40,19762.50,20415.00,19622.70,2630000.00,0.04
8/23/2018,20182.00,20135.40,20321.80,19855.70,950410.00,0.00
8/24/2018,19948.90,19948.90,20135.40,19809.10,969600.00,-0.01
8/27/2018,20135.40,19855.70,20461.60,19855.70,1340000.00,0.01
8/28/2018,20787.90,20321.80,20974.30,20182.00,2200000.00,0.03
8/29/2018,20554.90,20834.50,20834.50,20368.40,929140.00,-0.01
8/30/2018,20834.50,20415.00,20834.50,20415.00,991660.00,0.01
8/31/2018,20694.70,20927.70,21160.80,20694.70,1370000.00,-0.01
